"Elección","Lista/Pacto","Candidato Nombre","Candidato Apellido Paterno","Candidato Apellido Materno","Genero","Partido Politico","Adhiere a Candidato Transparente","Web Site","Facebook","Twitter","Distrito","Comunas"
"Diputado(a)","Chile Vamos","Juan Antonio","Pérez","Marín","Masculino","Partido Unión Demócrata Independiente","No","","","","4"," - Chañaral - Copiapó - Diego de Almagro - Alto del Carmen - Caldera - Freirina - Huasco - Tierra Amarilla - Vallenar"
"Diputado(a)","Chile Vamos","Nelly","Galeb","Bou","Femenino","Renovación Nacional","No","","","","4"," - Chañaral - Copiapó - Diego de Almagro - Alto del Carmen - Caldera - Freirina - Huasco - Tierra Amarilla - Vallenar"
"Diputado(a)","Chile Vamos","Sofía ","Cid","Versalovic","Femenino","Renovación Nacional","No","","","","4"," - Chañaral - Copiapó - Diego de Almagro - Alto del Carmen - Caldera - Freirina - Huasco - Tierra Amarilla - Vallenar"
"Diputado(a)","Chile Vamos","Francisco","Eguiguren","Correa","Masculino","Renovación Nacional","No","","","","5"," - Andacollo - La Higuera - La Serena - Paiguano - Vicuña - Coquimbo - Ovalle - Río Hurtado - Canela - Combarbalá - Illapel - Los Vilos - Monte Patria - Punitaqui - Salamanca"
"Diputado(a)","Chile Vamos","Sergio","Gahona","Salazar","Masculino","Partido Unión Demócrata Independiente","No","","","","5"," - Andacollo - La Higuera - La Serena - Paiguano - Vicuña - Coquimbo - Ovalle - Río Hurtado - Canela - Combarbalá - Illapel - Los Vilos - Monte Patria - Punitaqui - Salamanca"
"Diputado(a)","Chile Vamos","Juan Manuel","Fuenzalida","Cobo","Masculino","Partido Unión Demócrata Independiente","No","","","","5"," - Andacollo - La Higuera - La Serena - Paiguano - Vicuña - Coquimbo - Ovalle - Río Hurtado - Canela - Combarbalá - Illapel - Los Vilos - Monte Patria - Punitaqui - Salamanca"
"Diputado(a)","Chile Vamos","Roberto","Vega","Campusano","Masculino","Renovación Nacional","No","","","","5"," - Andacollo - La Higuera - La Serena - Paiguano - Vicuña - Coquimbo - Ovalle - Río Hurtado - Canela - Combarbalá - Illapel - Los Vilos - Monte Patria - Punitaqui - Salamanca"
"Diputado(a)","Chile Vamos","Ivon","Guerra","Aguilera","Femenino","Partido Unión Demócrata Independiente","No","","","","5"," - Andacollo - La Higuera - La Serena - Paiguano - Vicuña - Coquimbo - Ovalle - Río Hurtado - Canela - Combarbalá - Illapel - Los Vilos - Monte Patria - Punitaqui - Salamanca"
"Diputado(a)","Chile Vamos","Carlos","Cruz-Coke","Carvallo","Masculino","Renovación Nacional","No","","","","5"," - Andacollo - La Higuera - La Serena - Paiguano - Vicuña - Coquimbo - Ovalle - Río Hurtado - Canela - Combarbalá - Illapel - Los Vilos - Monte Patria - Punitaqui - Salamanca"
"Diputado(a)","Chile Vamos","Francesca","Figari","Schenck","Femenino","Independiente","No","","","","5"," - Andacollo - La Higuera - La Serena - Paiguano - Vicuña - Coquimbo - Ovalle - Río Hurtado - Canela - Combarbalá - Illapel - Los Vilos - Monte Patria - Punitaqui - Salamanca"
"Diputado(a)","Chile Vamos","Ernestina","Sarmiento","Rivera","Femenino","Independiente","No","","","","5"," - Andacollo - La Higuera - La Serena - Paiguano - Vicuña - Coquimbo - Ovalle - Río Hurtado - Canela - Combarbalá - Illapel - Los Vilos - Monte Patria - Punitaqui - Salamanca"
"Diputado(a)","Chile Vamos","Luis ","Pardo","Sáinz ","Masculino","Renovación Nacional","No","","","","6"," - Cabildo - Calera - Hijuelas - La Cruz - La Ligua - Nogales - Papudo - Petorca - Puchuncaví - Quillota - Quintero - Zapallar - Calle Larga - Catemu - LlaiLlay - Los Andes - Panquehue - Putaendo - Rinconada - San Esteban - San Felipe - Santa María - Limache - Olmué - Quilpué - Villa Alemana"
"Diputado(a)","Chile Vamos","Andrés","Longton","Herrera","Masculino","Renovación Nacional","No","","","","6"," - Cabildo - Calera - Hijuelas - La Cruz - La Ligua - Nogales - Papudo - Petorca - Puchuncaví - Quillota - Quintero - Zapallar - Calle Larga - Catemu - LlaiLlay - Los Andes - Panquehue - Putaendo - Rinconada - San Esteban - San Felipe - Santa María - Limache - Olmué - Quilpué - Villa Alemana"
"Diputado(a)","Chile Vamos","Gustavo","Alessandri","Balmaceda","Masculino","Independiente","No","","","","6"," - Cabildo - Calera - Hijuelas - La Cruz - La Ligua - Nogales - Papudo - Petorca - Puchuncaví - Quillota - Quintero - Zapallar - Calle Larga - Catemu - LlaiLlay - Los Andes - Panquehue - Putaendo - Rinconada - San Esteban - San Felipe - Santa María - Limache - Olmué - Quilpué - Villa Alemana"
"Diputado(a)","Chile Vamos","Giovanni","Calderón","Bassi","Masculino","Partido Unión Demócrata Independiente","No","","","","6"," - Cabildo - Calera - Hijuelas - La Cruz - La Ligua - Nogales - Papudo - Petorca - Puchuncaví - Quillota - Quintero - Zapallar - Calle Larga - Catemu - LlaiLlay - Los Andes - Panquehue - Putaendo - Rinconada - San Esteban - San Felipe - Santa María - Limache - Olmué - Quilpué - Villa Alemana"
"Diputado(a)","Chile Vamos","Pablo","Kast","Sommerhoff","Masculino","Independiente","No","","","","6"," - Cabildo - Calera - Hijuelas - La Cruz - La Ligua - Nogales - Papudo - Petorca - Puchuncaví - Quillota - Quintero - Zapallar - Calle Larga - Catemu - LlaiLlay - Los Andes - Panquehue - Putaendo - Rinconada - San Esteban - San Felipe - Santa María - Limache - Olmué - Quilpué - Villa Alemana"
"Diputado(a)","Chile Vamos","Marcela","Gutiérrez ","Garcés ","Femenino","Independiente","No","","","","6"," - Cabildo - Calera - Hijuelas - La Cruz - La Ligua - Nogales - Papudo - Petorca - Puchuncaví - Quillota - Quintero - Zapallar - Calle Larga - Catemu - LlaiLlay - Los Andes - Panquehue - Putaendo - Rinconada - San Esteban - San Felipe - Santa María - Limache - Olmué - Quilpué - Villa Alemana"
"Diputado(a)","Chile Vamos","Camila","Flores","Oporto","Femenino","Renovación Nacional","No","","","","6"," - Cabildo - Calera - Hijuelas - La Cruz - La Ligua - Nogales - Papudo - Petorca - Puchuncaví - Quillota - Quintero - Zapallar - Calle Larga - Catemu - LlaiLlay - Los Andes - Panquehue - Putaendo - Rinconada - San Esteban - San Felipe - Santa María - Limache - Olmué - Quilpué - Villa Alemana"
"Diputado(a)","Chile Vamos","Javier","Maldonado","Correa","Masculino","Evolución Política","No","","","","6"," - Cabildo - Calera - Hijuelas - La Cruz - La Ligua - Nogales - Papudo - Petorca - Puchuncaví - Quillota - Quintero - Zapallar - Calle Larga - Catemu - LlaiLlay - Los Andes - Panquehue - Putaendo - Rinconada - San Esteban - San Felipe - Santa María - Limache - Olmué - Quilpué - Villa Alemana"
"Diputado(a)","Chile Vamos","Erika","Muñoz ","Bravo","Femenino","Partido Unión Demócrata Independiente","No","","","","6"," - Cabildo - Calera - Hijuelas - La Cruz - La Ligua - Nogales - Papudo - Petorca - Puchuncaví - Quillota - Quintero - Zapallar - Calle Larga - Catemu - LlaiLlay - Los Andes - Panquehue - Putaendo - Rinconada - San Esteban - San Felipe - Santa María - Limache - Olmué - Quilpué - Villa Alemana"
"Diputado(a)","Chile Vamos","María José","Hoffmann ","Opazo","Femenino","Partido Unión Demócrata Independiente","No","","","","7"," - Isla de Pascua - Juan Fernández - Valparaíso - ConCón - Viña del Mar - Algarrobo - Cartagena - Casablanca - El Quisco - El Tabo - San Antonio - Santo Domingo"
"Diputado(a)","Chile Vamos","Annette","Rapu","Zamora","Femenino","Independiente","No","","","","7"," - Isla de Pascua - Juan Fernández - Valparaíso - ConCón - Viña del Mar - Algarrobo - Cartagena - Casablanca - El Quisco - El Tabo - San Antonio - Santo Domingo"
"Diputado(a)","Chile Vamos","Jorge ","Castro","Muñoz","Masculino","Partido Unión Demócrata Independiente","No","","","","7"," - Isla de Pascua - Juan Fernández - Valparaíso - ConCón - Viña del Mar - Algarrobo - Cartagena - Casablanca - El Quisco - El Tabo - San Antonio - Santo Domingo"
"Diputado(a)","Chile Vamos","José","Egido","Arriola","Masculino","Renovación Nacional","No","","","","7"," - Isla de Pascua - Juan Fernández - Valparaíso - ConCón - Viña del Mar - Algarrobo - Cartagena - Casablanca - El Quisco - El Tabo - San Antonio - Santo Domingo"
"Diputado(a)","Chile Vamos","Pilar","Soberado","Núñez","Femenino","Independiente","No","","","","7"," - Isla de Pascua - Juan Fernández - Valparaíso - ConCón - Viña del Mar - Algarrobo - Cartagena - Casablanca - El Quisco - El Tabo - San Antonio - Santo Domingo"
"Diputado(a)","Chile Vamos","Andrés","Celis","Montt","Masculino","Renovación Nacional","No","","","","7"," - Isla de Pascua - Juan Fernández - Valparaíso - ConCón - Viña del Mar - Algarrobo - Cartagena - Casablanca - El Quisco - El Tabo - San Antonio - Santo Domingo"
"Diputado(a)","Chile Vamos","Rosario","Pérez","Izquierdo","Femenino","Renovación Nacional","No","","","","7"," - Isla de Pascua - Juan Fernández - Valparaíso - ConCón - Viña del Mar - Algarrobo - Cartagena - Casablanca - El Quisco - El Tabo - San Antonio - Santo Domingo"
"Diputado(a)","Chile Vamos","Osvaldo","Urrutia","Soto","Masculino","Partido Unión Demócrata Independiente","No","","","","7"," - Isla de Pascua - Juan Fernández - Valparaíso - ConCón - Viña del Mar - Algarrobo - Cartagena - Casablanca - El Quisco - El Tabo - San Antonio - Santo Domingo"
"Diputado(a)","Chile Vamos","Trinidad","Morán ","Herrera","Femenino","Renovación Nacional","No","","","","7"," - Isla de Pascua - Juan Fernández - Valparaíso - ConCón - Viña del Mar - Algarrobo - Cartagena - Casablanca - El Quisco - El Tabo - San Antonio - Santo Domingo"
"Diputado(a)","Chile Vamos","Perla","Seguel","Torres","Femenino","Renovación Nacional","No","","","","8"," - Colina - Lampa - Pudahuel - Quilicura - TilTil - Cerrillos - Estación Central - Maipú"
"Diputado(a)","Chile Vamos","Mario","Desbordes","Jiménez","Masculino","Renovación Nacional","No","","","","8"," - Colina - Lampa - Pudahuel - Quilicura - TilTil - Cerrillos - Estación Central - Maipú"
"Diputado(a)","Chile Vamos","Joaquín","Lavín","León","Masculino","Partido Unión Demócrata Independiente","No","","","","8"," - Colina - Lampa - Pudahuel - Quilicura - TilTil - Cerrillos - Estación Central - Maipú"
"Diputado(a)","Chile Vamos","Andrea","Ojeda","Miranda","Femenino","Renovación Nacional","No","","","","8"," - Colina - Lampa - Pudahuel - Quilicura - TilTil - Cerrillos - Estación Central - Maipú"
"Diputado(a)","Chile Vamos","Alejandra ","Bravo","Hidalgo","Femenino","Independiente","No","","","","8"," - Colina - Lampa - Pudahuel - Quilicura - TilTil - Cerrillos - Estación Central - Maipú"
"Diputado(a)","Chile Vamos","Pia ","Margarit","Bahamonde","Femenino","Partido Unión Demócrata Independiente","No","","","","8"," - Colina - Lampa - Pudahuel - Quilicura - TilTil - Cerrillos - Estación Central - Maipú"
"Diputado(a)","Chile Vamos","Sebastián","Lafaurie","Rivera","Masculino","Independiente","No","","","","8"," - Colina - Lampa - Pudahuel - Quilicura - TilTil - Cerrillos - Estación Central - Maipú"
"Diputado(a)","Chile Vamos","Patricio","Melero","Abaroa","Masculino","Partido Unión Demócrata Independiente","No","","","","8"," - Colina - Lampa - Pudahuel - Quilicura - TilTil - Cerrillos - Estación Central - Maipú"
"Diputado(a)","Chile Vamos","Pablo ","Galdámez","Díaz","Masculino","Independiente","No","","","","8"," - Colina - Lampa - Pudahuel - Quilicura - TilTil - Cerrillos - Estación Central - Maipú"
"Diputado(a)","Chile Vamos","Mijail","Bonito","Lovio","Masculino","Evolución Política","No","","","","9"," - Conchalí - Huechuraba - Renca - Cerro Navia - Lo Prado - Quinta Normal - Independencia - Recoleta"
"Diputado(a)","Chile Vamos","Loreto","Letelier","Barrera","Femenino","Partido Unión Demócrata Independiente","No","","","","9"," - Conchalí - Huechuraba - Renca - Cerro Navia - Lo Prado - Quinta Normal - Independencia - Recoleta"
"Diputado(a)","Chile Vamos","Cristóbal","Leturia","Infante","Masculino","Partido Unión Demócrata Independiente","No","","","","9"," - Conchalí - Huechuraba - Renca - Cerro Navia - Lo Prado - Quinta Normal - Independencia - Recoleta"
"Diputado(a)","Chile Vamos","Claudia","Nogueira","Fernández","Femenino","Partido Unión Demócrata Independiente","No","","","","9"," - Conchalí - Huechuraba - Renca - Cerro Navia - Lo Prado - Quinta Normal - Independencia - Recoleta"
"Diputado(a)","Chile Vamos","Katherine","Martorell","Awad","Femenino","Renovación Nacional","No","","","","9"," - Conchalí - Huechuraba - Renca - Cerro Navia - Lo Prado - Quinta Normal - Independencia - Recoleta"
"Diputado(a)","Chile Vamos","Jorge ","Duran","Espinoza","Masculino","Renovación Nacional","No","","","","9"," - Conchalí - Huechuraba - Renca - Cerro Navia - Lo Prado - Quinta Normal - Independencia - Recoleta"
"Diputado(a)","Chile Vamos","Sebastián","Keitel","Bianchi","Masculino","Independiente","No","","","","9"," - Conchalí - Huechuraba - Renca - Cerro Navia - Lo Prado - Quinta Normal - Independencia - Recoleta"
"Diputado(a)","Chile Vamos","Erika","Olivera ","De la fuente","Femenino","Independiente","No","","","","9"," - Conchalí - Huechuraba - Renca - Cerro Navia - Lo Prado - Quinta Normal - Independencia - Recoleta"
"Diputado(a)","Chile Vamos","Luis","Larraín","Stieb","Masculino","Independiente","Sí","www.luislarrain.cl","","LuisLarrain","10"," - Ñuñoa - Providencia - Santiago - Macul - San Joaquín - La Granja"
"Diputado(a)","Chile Vamos","Luciano","Cruz-Coke","Carvallo","Masculino","Evolución Política","No","","","","10"," - Ñuñoa - Providencia - Santiago - Macul - San Joaquín - La Granja"
"Diputado(a)","Chile Vamos","Julio","Isamit","Díaz","Masculino","Independiente","No","","","","10"," - Ñuñoa - Providencia - Santiago - Macul - San Joaquín - La Granja"
"Diputado(a)","Chile Vamos","Sebastián","Torrealba","Alvárado","Masculino","Renovación Nacional","No","","","","10"," - Ñuñoa - Providencia - Santiago - Macul - San Joaquín - La Granja"
"Diputado(a)","Chile Vamos","Rosa","Oyarce","Suazo","Femenino","Renovación Nacional","No","","","","10"," - Ñuñoa - Providencia - Santiago - Macul - San Joaquín - La Granja"
"Diputado(a)","Chile Vamos","Jorge ","Alessandri","Vergara","Masculino","Partido Unión Demócrata Independiente","No","","","","10"," - Ñuñoa - Providencia - Santiago - Macul - San Joaquín - La Granja"
"Diputado(a)","Chile Vamos","Marcela","Sabat","Fernández","Femenino","Renovación Nacional","No","","","","10"," - Ñuñoa - Providencia - Santiago - Macul - San Joaquín - La Granja"
"Diputado(a)","Chile Vamos","Cecilia","Aguayo","Ipinza","Femenino","Independiente","No","","","","10"," - Ñuñoa - Providencia - Santiago - Macul - San Joaquín - La Granja"
"Diputado(a)","Chile Vamos","Gonzalo","Fuenzalida","Figueroa","Masculino","Renovación Nacional","No","","","","11"," - Las Condes - Vitacura - Lo Barnechea - La Reina - Peñalolén"
"Diputado(a)","Chile Vamos","Karín","Luck","Urban","Femenino","Renovación Nacional","No","","","","11"," - Las Condes - Vitacura - Lo Barnechea - La Reina - Peñalolén"
"Diputado(a)","Chile Vamos","Barbara","soto","Silva","Femenino","Partido Unión Demócrata Independiente","No","","","","11"," - Las Condes - Vitacura - Lo Barnechea - La Reina - Peñalolén"
"Diputado(a)","Chile Vamos","Guillermo","Ramirez","Diez","Masculino","Partido Unión Demócrata Independiente","No","","","","11"," - Las Condes - Vitacura - Lo Barnechea - La Reina - Peñalolén"
"Diputado(a)","Chile Vamos","Francisco","Undurraga","gazitua","Masculino","Evolución Política","No","","","","11"," - Las Condes - Vitacura - Lo Barnechea - La Reina - Peñalolén"
"Diputado(a)","Chile Vamos","Pablo","Terrazas","Lagos","Masculino","Partido Unión Demócrata Independiente","No","","","","11"," - Las Condes - Vitacura - Lo Barnechea - La Reina - Peñalolén"
"Diputado(a)","Chile Vamos","Catalina","Del Real","Mihovilovic","Femenino","Renovación Nacional","No","","","","11"," - Las Condes - Vitacura - Lo Barnechea - La Reina - Peñalolén"
"Diputado(a)","Chile Vamos","Michelle","Zunino","Palacios","Femenino","Independiente","No","","","","12"," - La Florida - La Pintana - Pirque - Puente Alto - San José de Maipo"
"Diputado(a)","Chile Vamos","Leopoldo","Pérez","Lahsen","Masculino","Renovación Nacional","No","","","","12"," - La Florida - La Pintana - Pirque - Puente Alto - San José de Maipo"
"Diputado(a)","Chile Vamos","Olga ","González del Riego","García","Femenino","Renovación Nacional","No","","","","12"," - La Florida - La Pintana - Pirque - Puente Alto - San José de Maipo"
"Diputado(a)","Chile Vamos","Álvaro","Carter","Fernández","Masculino","Independiente","No","","","","12"," - La Florida - La Pintana - Pirque - Puente Alto - San José de Maipo"
"Diputado(a)","Chile Vamos","Claudia","Lange","Farias","Femenino","Independiente","No","","","","12"," - La Florida - La Pintana - Pirque - Puente Alto - San José de Maipo"
"Diputado(a)","Chile Vamos","María Teresa","Lavín","Aliaga","Femenino","Independiente","No","","","","12"," - La Florida - La Pintana - Pirque - Puente Alto - San José de Maipo"
"Diputado(a)","Chile Vamos","Ximena","Ossandon ","Irarrazabal","Femenino","Renovación Nacional","No","","","","12"," - La Florida - La Pintana - Pirque - Puente Alto - San José de Maipo"
"Diputado(a)","Chile Vamos","Eduardo ","Duran","Salinas","Masculino","Renovación Nacional","No","","","","13"," - El Bosque - La Cisterna - San Ramón - Lo Espejo - Pedro Aguirre Cerda - San Miguel"
"Diputado(a)","Chile Vamos","Loreto ","Seguel","King","Femenino","Independiente","No","","","","13"," - El Bosque - La Cisterna - San Ramón - Lo Espejo - Pedro Aguirre Cerda - San Miguel"
"Diputado(a)","Chile Vamos","Verónica","Garrido","Bello","Femenino","Evolución Política","No","","","","13"," - El Bosque - La Cisterna - San Ramón - Lo Espejo - Pedro Aguirre Cerda - San Miguel"
"Diputado(a)","Chile Vamos","Macarena","Donoso","Rojas","Femenino","Renovación Nacional","No","","","","13"," - El Bosque - La Cisterna - San Ramón - Lo Espejo - Pedro Aguirre Cerda - San Miguel"
"Diputado(a)","Chile Vamos","Álvaro","Pillado","Irribarra","Masculino","Partido Unión Demócrata Independiente","No","","","","13"," - El Bosque - La Cisterna - San Ramón - Lo Espejo - Pedro Aguirre Cerda - San Miguel"
"Diputado(a)","Chile Vamos","Cristhian","Moreira","Barros","Masculino","Partido Unión Demócrata Independiente","No","","","","13"," - El Bosque - La Cisterna - San Ramón - Lo Espejo - Pedro Aguirre Cerda - San Miguel"
"Diputado(a)","Chile Vamos","Isabel Margarita","Labbe","Martínez","Femenino","Partido Unión Demócrata Independiente","No","","","","14"," - Buin - Calera de Tango - Paine - San Bernardo - Alhué - Curacaví - El Monte - Isla de Maipo - María Pinto - Melipilla - Padre Hurtado - Peñaflor - San Pedro - Talagante"
"Diputado(a)","Chile Vamos","Jaime","Bellolio","Avaria","Masculino","Partido Unión Demócrata Independiente","No","","","","14"," - Buin - Calera de Tango - Paine - San Bernardo - Alhué - Curacaví - El Monte - Isla de Maipo - María Pinto - Melipilla - Padre Hurtado - Peñaflor - San Pedro - Talagante"
"Diputado(a)","Chile Vamos","Juan Antonio","Coloma","Álamos","Masculino","Partido Unión Demócrata Independiente","No","","","","14"," - Buin - Calera de Tango - Paine - San Bernardo - Alhué - Curacaví - El Monte - Isla de Maipo - María Pinto - Melipilla - Padre Hurtado - Peñaflor - San Pedro - Talagante"
"Diputado(a)","Chile Vamos","Juana ","Silva","Muñoz ","Femenino","Independiente","No","","","","14"," - Buin - Calera de Tango - Paine - San Bernardo - Alhué - Curacaví - El Monte - Isla de Maipo - María Pinto - Melipilla - Padre Hurtado - Peñaflor - San Pedro - Talagante"
"Diputado(a)","Chile Vamos","Antonio","Horvath","Guitiérrez","Masculino","Renovación Nacional","No","","","","14"," - Buin - Calera de Tango - Paine - San Bernardo - Alhué - Curacaví - El Monte - Isla de Maipo - María Pinto - Melipilla - Padre Hurtado - Peñaflor - San Pedro - Talagante"
"Diputado(a)","Chile Vamos","Alejandra ","Novoa","Sandovál","Femenino","Renovación Nacional","No","","","","14"," - Buin - Calera de Tango - Paine - San Bernardo - Alhué - Curacaví - El Monte - Isla de Maipo - María Pinto - Melipilla - Padre Hurtado - Peñaflor - San Pedro - Talagante"
"Diputado(a)","Chile Vamos","Angelica","Pino","San Martín","Femenino","Renovación Nacional","No","","","","14"," - Buin - Calera de Tango - Paine - San Bernardo - Alhué - Curacaví - El Monte - Isla de Maipo - María Pinto - Melipilla - Padre Hurtado - Peñaflor - San Pedro - Talagante"
"Diputado(a)","Chile Vamos","Paulina","Orellana","Auil","Femenino","Independiente","No","","","","15"," - Rancagua - Codegua - Coinco - Coltauco - Doñihue - Graneros - Machalí - Malloa - Mostazal - Olivar - Quinta de Tilcoco - Rengo - Requínoa"
"Diputado(a)","Chile Vamos","Javier ","Macaya","Danus","Masculino","Independiente","No","","","","15"," - Rancagua - Codegua - Coinco - Coltauco - Doñihue - Graneros - Machalí - Malloa - Mostazal - Olivar - Quinta de Tilcoco - Rengo - Requínoa"
"Diputado(a)","Chile Vamos","Issa ","Kort","Garriga","Femenino","Independiente","No","","","","15"," - Rancagua - Codegua - Coinco - Coltauco - Doñihue - Graneros - Machalí - Malloa - Mostazal - Olivar - Quinta de Tilcoco - Rengo - Requínoa"
"Diputado(a)","Chile Vamos","Ivonne","Mangelsdorff","Galeb","Femenino","Independiente","No","","","","15"," - Rancagua - Codegua - Coinco - Coltauco - Doñihue - Graneros - Machalí - Malloa - Mostazal - Olivar - Quinta de Tilcoco - Rengo - Requínoa"
"Diputado(a)","Chile Vamos","Pamela","Medina","Schulz","Femenino","Independiente","No","","","","15"," - Rancagua - Codegua - Coinco - Coltauco - Doñihue - Graneros - Machalí - Malloa - Mostazal - Olivar - Quinta de Tilcoco - Rengo - Requínoa"
"Diputado(a)","Chile Vamos","Vanessa","Cabello","Parada","Femenino","Partido Unión Demócrata Independiente","No","","","","16"," - Chimbarongo - Las Cabras - Peumo - Pichidegua - San Fernando - San Vicente - Chépica - La Estrella - Litueche - Lolol - Marchihue - Nancagua - Navidad - Palmilla - Paredones - Peralillo - Pichilemu - Placilla - Pumanque - Santa Cruz"
"Diputado(a)","Chile Vamos","Mauricio","Boza","González","Masculino","Renovación Nacional","No","","","","16"," - Chimbarongo - Las Cabras - Peumo - Pichidegua - San Fernando - San Vicente - Chépica - La Estrella - Litueche - Lolol - Marchihue - Nancagua - Navidad - Palmilla - Paredones - Peralillo - Pichilemu - Placilla - Pumanque - Santa Cruz"
"Diputado(a)","Chile Vamos","Virginia","Troncoso","Hellman","Femenino","Partido Unión Demócrata Independiente","No","","","","16"," - Chimbarongo - Las Cabras - Peumo - Pichidegua - San Fernando - San Vicente - Chépica - La Estrella - Litueche - Lolol - Marchihue - Nancagua - Navidad - Palmilla - Paredones - Peralillo - Pichilemu - Placilla - Pumanque - Santa Cruz"
"Diputado(a)","Chile Vamos","Julio","Ibarra ","Maldonado","Masculino","Renovación Nacional","No","","","","16"," - Chimbarongo - Las Cabras - Peumo - Pichidegua - San Fernando - San Vicente - Chépica - La Estrella - Litueche - Lolol - Marchihue - Nancagua - Navidad - Palmilla - Paredones - Peralillo - Pichilemu - Placilla - Pumanque - Santa Cruz"
"Diputado(a)","Chile Vamos","Ramón","Barros","Montero","Masculino","Partido Unión Demócrata Independiente","No","","","","16"," - Chimbarongo - Las Cabras - Peumo - Pichidegua - San Fernando - San Vicente - Chépica - La Estrella - Litueche - Lolol - Marchihue - Nancagua - Navidad - Palmilla - Paredones - Peralillo - Pichilemu - Placilla - Pumanque - Santa Cruz"
"Diputado(a)","Chile Vamos","Elías","Vistoso","Urrutia","Masculino","Evolución Política","No","","","","17"," - Curicó - Hualañé - Licantén - Molina - Rauco - Romeral - Sagrada Familia - Teno - Vichuquén - Talca - Constitución - Curepto - Empedrado - Maule - Pelarco - Pencahue - Río Claro - San Clemente - San Rafael"
